time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-28T21:43:23.850Z,19.4083328,-155.5070038,10.27,1.75,md,29,43,,0.1,hv,hv61990776,2017-11-28T21:46:36.110Z,"22km N of Pahala, Hawaii",earthquake,0.3,0.72,0.13,10,automatic,hv,hv
2017-11-28T21:34:57.480Z,33.8685,-117.4946667,-0.56,1.28,ml,18,81,0.06559,0.16,ci,ci37819759,2017-11-28T22:05:13.366Z,"3km ESE of Home Gardens, CA",quarry blast,0.27,31.61,0.191,16,reviewed,ci,ci
2017-11-28T21:20:37.194Z,39.562,-119.8025,6.4,0.9,ml,9,96.55,0.023,0.1366,nn,nn00613810,2017-11-29T00:51:51.407Z,"3km NNE of Reno, Nevada",earthquake,,1,0.13,2,reviewed,nn,nn
2017-11-28T21:20:34.350Z,44.7626667,-110.641,3.18,1.63,ml,14,167,0.05445,0.17,uu,uu60260027,2017-11-28T23:24:39.500Z,"36km NNE of Old Faithful Geyser, Wyoming",earthquake,0.56,1.2,0.653,2,reviewed,uu,uu
2017-11-28T21:04:13.443Z,39.5538,-119.7979,5.7,0.8,ml,11,80.58,0.032,0.1141,nn,nn00613807,2017-11-28T23:53:16.934Z,"3km NNE of Reno, Nevada",earthquake,,1.4,0,1,reviewed,nn,nn
2017-11-28T21:03:56.160Z,33.5383333,-116.7125,2.62,0.09,ml,15,81,0.03402,0.08,ci,ci37819743,2017-11-28T21:25:07.116Z,"4km WSW of Anza, CA",earthquake,0.16,0.15,0.149,5,reviewed,ci,ci
2017-11-28T21:03:40.320Z,38.8126678,-122.7806702,0.14,0.88,md,10,120,0.0005905,0.02,nc,nc72931905,2017-11-28T21:18:03.206Z,"4km NNW of The Geysers, California",earthquake,0.26,0.99,0.01,3,automatic,nc,nc
2017-11-28T20:55:06.530Z,44.4336667,-110.331,9.43,1.23,md,11,112,0.05326,0.11,uu,uu60259997,2017-11-28T22:00:41.380Z,"39km E of Old Faithful Geyser, Wyoming",earthquake,0.37,0.8,0.077,3,reviewed,uu,uu
2017-11-28T20:52:44.711Z,60.7554,-150.8576,57,1.5,ml,,,,0.32,ak,ak17399483,2017-11-28T21:39:02.004Z,"24km NNW of Sterling, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-11-28T20:46:40.190Z,38.7813339,-122.7476654,-0.52,1.89,md,20,93,0.008759,0.08,nc,nc72931900,2017-11-29T00:10:04.708Z,"0km ENE of The Geysers, California",earthquake,0.22,0.61,0.21,9,automatic,nc,nc
2017-11-28T20:26:14.550Z,33.8538333,-117.4841667,-0.56,1.05,ml,38,59,0.04879,0.26,ci,ci37819727,2017-11-28T21:21:09.013Z,"4km SE of Home Gardens, CA",quarry blast,0.51,31.61,0.165,14,reviewed,ci,ci
2017-11-28T20:25:08.124Z,60.0617,-151.6942,51.5,1.4,ml,,,,0.37,ak,ak17399481,2017-11-28T21:35:03.358Z,"32km NNE of Anchor Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-11-28T20:12:30.528Z,61.867,-151.1534,68.2,1.3,ml,,,,0.13,ak,ak17399476,2017-11-28T20:17:38.118Z,"60km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-11-28T20:12:22.860Z,35.9123333,-120.4531667,5.04,2.35,md,31,54,0.01459,0.05,nc,nc72931890,2017-11-29T03:24:02.510Z,"26km SSW of Coalinga, California",earthquake,0.26,0.29,0.109,15,reviewed,nc,nc
